codigo_operadora;operadora;CNPJ;razao_social;data_alteracao;email;telefone;grupo;responsavel
124;"Rota dos Gr�os";"41315638000107";"CONCESSIONARIA DE RODOVIAS ROTA DOS GRAOS S/A";"16/10/2022";"FISCAL@RDG130.COM.BR";"(66) 2101-1300";"TESTE";"TESTE"
125;"Via Brasil MT 246";"40952394000100";"VIA BRASIL MT 246 CONCESSIONARIA DE RODOVIAS S.ASA";;;;"TESTE";"TESTE"
126;"CCR RIOSP";"44319688000142";"CONCESSIONARIA DO SISTEMA RODOVIARIO RIO - SAO PAULO S.A.";"24/08/2020";;;"TESTE";"TESTE"
127;"Via Norte Sul Rodovias";"40832664000131";"VIA NORTE SUL RODOVIAS S/A";"27/01/2023";"FINANCEIRO1@VIANORTESULRODOVIAS.COM.BR";"(66) 3531-4285";"TESTE";"TESTE"
128;"C S Gr�os do Piau�";"42627875000168";"GRAOS DO PIAUI CONCESSIONARIA DE RODOVIAS SPE S.A.";;;;"TESTE";"TESTE"
129;"Caminhos da Serra Ga�cha";"47815827000117";"CAMINHOS DA SERRA GAUCHA S.A.";"23/03/2018";;;"TESTE";"TESTE"
130;"EcoNoroeste";"18756781000104";"ECO NOROESTE";"--";;;"TESTE";"TESTE"
131;"EPR Tri�ngulo";"48127012000108";"CONCESSIONARIA RODOVIAS DO TRIANGULO SPE S.A.";;;;"TESTE";"TESTE"
132;"EPR Sul de Minas";"48127008000140";"CONCESSIONARIA RODOVIAS DO SUL DE MINAS SPE S.A.";"09/10/2023";;;"TESTE";"TESTE"
133;"Way-112";"48851242000115";"CONCESSIONARIA DAS RODOVIAS DO LESTE MS S.A.";"11/02/2024";"CMSILVESTRE@WAY306.COM.BR";"(67) 3562-7650";"TESTE";"TESTE"
134;"Via Araucaria";"47155252000153";"VIA ARAUCARIA CONCESSIONARIA DE RODOVIAS S.A.";"19/03/2018";"DANIEL.BECKER@PATRIA.COM";"(11) 3039-9039";"TESTE";"TESTE"
135;"EPR Litoral Pioneiro";"51137031000120";"EPR Litoral Pioneiro S.A.";"19/03/2018";"GIOVANNI.MOTT@GRUPOEPR.COM.BR";"(11) 3095-8600";"TESTE";"TESTE"
137;"CRP CONCESSIONARIAS";"51299828000123";"CRP CONCESSIONARIA SPE LTDA";;"CRPPARTICPACOESLTDA@GMAIL.COM";"(31) 9734-8844";"TESTE";"TESTE"
